"","cluster_IDs","Item","cluster_nc","subjCode","x_coord","y_coord","item_num"
"1",1,"VCS_10",4,"SAL_101b",166,-279,1
"12",1,"VCS_20",4,"SAL_101b",284,-279,12
"23",1,"VCS_30",4,"SAL_101b",224,-144,23
"26",1,"VCS_320",4,"SAL_101b",92,-150,26
"27",1,"VCS_330",4,"SAL_101b",103,-266,27
"28",1,"VCS_340",4,"SAL_101b",287,-137,28
"29",1,"VCS_350",4,"SAL_101b",164,-150,29
"30",1,"VCS_360",4,"SAL_101b",289,-216,30
"31",1,"VCS_40",4,"SAL_101b",230,-215,31
"32",1,"VCS_50",4,"SAL_101b",95,-213,32
"33",1,"VCS_60",4,"SAL_101b",230,-274,33
"34",1,"VCS_70",4,"SAL_101b",161,-220,34
"2",2,"VCS_100",4,"SAL_101b",144,226,2
"3",2,"VCS_110",4,"SAL_101b",200,233,3
"4",2,"VCS_120",4,"SAL_101b",111,150,4
"5",2,"VCS_130",4,"SAL_101b",325,236,5
"6",2,"VCS_140",4,"SAL_101b",263,238,6
"7",2,"VCS_150",4,"SAL_101b",93,229,7
"8",2,"VCS_160",4,"SAL_101b",165,157,8
"35",2,"VCS_80",4,"SAL_101b",227,154,35
"36",2,"VCS_90",4,"SAL_101b",322,163,36
"9",3,"VCS_170",4,"SAL_101b",-444,-190,9
"10",3,"VCS_180",4,"SAL_101b",-447,-254,10
"11",3,"VCS_190",4,"SAL_101b",-304,-189,11
"13",3,"VCS_200",4,"SAL_101b",-374,-182,13
"14",4,"VCS_210",4,"SAL_101b",-471,246,14
"15",4,"VCS_220",4,"SAL_101b",-325,246,15
"16",4,"VCS_230",4,"SAL_101b",-398,247,16
"17",4,"VCS_240",4,"SAL_101b",-400,171,17
"18",4,"VCS_250",4,"SAL_101b",-322,172,18
"19",4,"VCS_260",4,"SAL_101b",-474,170,19
"20",4,"VCS_270",4,"SAL_101b",-323,90,20
"21",4,"VCS_280",4,"SAL_101b",-395,94,21
"22",4,"VCS_290",4,"SAL_101b",-466,99,22
"24",4,"VCS_300",4,"SAL_101b",-470,23,24
"25",4,"VCS_310",4,"SAL_101b",-400,22,25
"37",1,"VCS_10",5,"SAL_103b",116,169,1
"48",1,"VCS_20",5,"SAL_103b",75,169,12
"59",1,"VCS_30",5,"SAL_103b",44,211,23
"67",1,"VCS_40",5,"SAL_103b",31,147,31
"68",1,"VCS_50",5,"SAL_103b",-25,138,32
"69",1,"VCS_60",5,"SAL_103b",19,92,33
"70",1,"VCS_70",5,"SAL_103b",76,117,34
"38",2,"VCS_100",5,"SAL_103b",336,102,2
"39",2,"VCS_110",5,"SAL_103b",402,53,3
"40",2,"VCS_120",5,"SAL_103b",363,168,4
"41",2,"VCS_130",5,"SAL_103b",429,147,5
"42",2,"VCS_140",5,"SAL_103b",373,64,6
"43",2,"VCS_150",5,"SAL_103b",391,107,7
"71",2,"VCS_80",5,"SAL_103b",459,91,35
"72",2,"VCS_90",5,"SAL_103b",430,48,36
"44",3,"VCS_160",5,"SAL_103b",-197,-147,8
"45",3,"VCS_170",5,"SAL_103b",-28,-202,9
"46",3,"VCS_180",5,"SAL_103b",-120,-141,10
"47",3,"VCS_190",5,"SAL_103b",-53,-137,11
"49",3,"VCS_200",5,"SAL_103b",-158,-199,13
"50",3,"VCS_210",5,"SAL_103b",-89,-199,14
"51",4,"VCS_220",5,"SAL_103b",-425,-229,15
"52",4,"VCS_230",5,"SAL_103b",-529,-189,16
"53",4,"VCS_240",5,"SAL_103b",-492,-233,17
"54",4,"VCS_250",5,"SAL_103b",-463,-132,18
"55",4,"VCS_260",5,"SAL_103b",-492,-164,19
"56",4,"VCS_270",5,"SAL_103b",-552,-242,20
"57",4,"VCS_280",5,"SAL_103b",-531,-136,21
"58",4,"VCS_290",5,"SAL_103b",-431,-167,22
"60",4,"VCS_300",5,"SAL_103b",-464,-183,24
"61",5,"VCS_310",5,"SAL_103b",-237,8,25
"62",5,"VCS_320",5,"SAL_103b",-372,69,26
"63",5,"VCS_330",5,"SAL_103b",-239,58,27
"64",5,"VCS_340",5,"SAL_103b",-295,24,28
"65",5,"VCS_350",5,"SAL_103b",-298,77,29
"66",5,"VCS_360",5,"SAL_103b",-351,20,30
"73",1,"VCS_10",7,"SAL_104b",-239,143,1
"99",1,"VCS_330",7,"SAL_104b",-186,140,27
"100",1,"VCS_340",7,"SAL_104b",-286,147,28
"101",1,"VCS_350",7,"SAL_104b",-205,200,29
"102",1,"VCS_360",7,"SAL_104b",-252,177,30
"74",2,"VCS_100",7,"SAL_104b",451,-131,2
"75",2,"VCS_110",7,"SAL_104b",458,-313,3
"77",2,"VCS_130",7,"SAL_104b",460,-373,5
"107",2,"VCS_80",7,"SAL_104b",454,-197,35
"108",2,"VCS_90",7,"SAL_104b",454,-255,36
"76",3,"VCS_120",7,"SAL_104b",451,-64,4
"78",3,"VCS_140",7,"SAL_104b",448,2,6
"79",3,"VCS_150",7,"SAL_104b",450,65,7
"80",4,"VCS_160",7,"SAL_104b",144,367,8
"81",4,"VCS_170",7,"SAL_104b",225,370,9
"82",4,"VCS_180",7,"SAL_104b",183,404,10
"83",4,"VCS_190",7,"SAL_104b",186,331,11
"90",4,"VCS_250",7,"SAL_104b",229,232,18
"84",5,"VCS_20",7,"SAL_104b",-86,-99,12
"95",5,"VCS_30",7,"SAL_104b",-105,-133,23
"103",5,"VCS_40",7,"SAL_104b",-131,-97,31
"104",5,"VCS_50",7,"SAL_104b",-135,-132,32
"105",5,"VCS_60",7,"SAL_104b",-119,-55,33
"106",5,"VCS_70",7,"SAL_104b",-55,-145,34
"85",6,"VCS_200",7,"SAL_104b",-38,383,13
"86",6,"VCS_210",7,"SAL_104b",-108,338,14
