subjCode,Item,cluster_nc,cluster_IDs,x_coord,y_coord,label
SAL_101b,VCS_10,4,1,166,-279,stars
SAL_101b,VCS_20,4,1,284,-279,stars
SAL_101b,VCS_30,4,1,224,-144,stars
SAL_101b,VCS_320,4,1,92,-150,stars
SAL_101b,VCS_330,4,1,103,-266,stars
SAL_101b,VCS_340,4,1,287,-137,stars
SAL_101b,VCS_350,4,1,164,-150,stars
SAL_101b,VCS_360,4,1,289,-216,stars
SAL_101b,VCS_40,4,1,230,-215,stars
SAL_101b,VCS_50,4,1,95,-213,stars
SAL_101b,VCS_60,4,1,230,-274,stars
SAL_101b,VCS_70,4,1,161,-220,stars
SAL_101b,VCS_100,4,2,144,226,miscellaneous
SAL_101b,VCS_110,4,2,200,233,miscellaneous
SAL_101b,VCS_120,4,2,111,150,miscellaneous
SAL_101b,VCS_130,4,2,325,236,miscellaneous
SAL_101b,VCS_140,4,2,263,238,miscellaneous
SAL_101b,VCS_150,4,2,93,229,miscellaneous
SAL_101b,VCS_160,4,2,165,157,miscellaneous
SAL_101b,VCS_80,4,2,227,154,miscellaneous
SAL_101b,VCS_90,4,2,322,163,miscellaneous
SAL_101b,VCS_170,4,3,-444,-190,random
SAL_101b,VCS_180,4,3,-447,-254,random
SAL_101b,VCS_190,4,3,-304,-189,random
SAL_101b,VCS_200,4,3,-374,-182,random
SAL_101b,VCS_210,4,4,-471,246,pentagon
SAL_101b,VCS_220,4,4,-325,246,pentagon
SAL_101b,VCS_230,4,4,-398,247,pentagon
SAL_101b,VCS_240,4,4,-400,171,pentagon
SAL_101b,VCS_250,4,4,-322,172,pentagon
SAL_101b,VCS_260,4,4,-474,170,pentagon
SAL_101b,VCS_270,4,4,-323,90,pentagon
SAL_101b,VCS_280,4,4,-395,94,pentagon
SAL_101b,VCS_290,4,4,-466,99,pentagon
SAL_101b,VCS_300,4,4,-470,23,pentagon
SAL_101b,VCS_310,4,4,-400,22,pentagon
SAL_103b,VCS_10,5,1,116,169,stars with smooth edges
SAL_103b,VCS_20,5,1,75,169,stars with smooth edges
SAL_103b,VCS_30,5,1,44,211,stars with smooth edges
SAL_103b,VCS_40,5,1,31,147,stars with smooth edges
SAL_103b,VCS_50,5,1,-25,138,stars with smooth edges
SAL_103b,VCS_60,5,1,19,92,stars with smooth edges
SAL_103b,VCS_70,5,1,76,117,stars with smooth edges
SAL_103b,VCS_100,5,2,336,102,shapes that don't fit any other category
SAL_103b,VCS_110,5,2,402,53,shapes that don't fit any other category
SAL_103b,VCS_120,5,2,363,168,shapes that don't fit any other category
SAL_103b,VCS_130,5,2,429,147,shapes that don't fit any other category
SAL_103b,VCS_140,5,2,373,64,shapes that don't fit any other category
SAL_103b,VCS_150,5,2,391,107,shapes that don't fit any other category
SAL_103b,VCS_80,5,2,459,91,shapes that don't fit any other category
SAL_103b,VCS_90,5,2,430,48,shapes that don't fit any other category
SAL_103b,VCS_160,5,3,-197,-147,shapes with horizontal line and smooth edges
SAL_103b,VCS_170,5,3,-28,-202,shapes with horizontal line and smooth edges
SAL_103b,VCS_180,5,3,-120,-141,shapes with horizontal line and smooth edges
SAL_103b,VCS_190,5,3,-53,-137,shapes with horizontal line and smooth edges
SAL_103b,VCS_200,5,3,-158,-199,shapes with horizontal line and smooth edges
SAL_103b,VCS_210,5,3,-89,-199,shapes with horizontal line and smooth edges
SAL_103b,VCS_220,5,4,-425,-229,horizontal base and straight lines
SAL_103b,VCS_230,5,4,-529,-189,horizontal base and straight lines
SAL_103b,VCS_240,5,4,-492,-233,horizontal base and straight lines
SAL_103b,VCS_250,5,4,-463,-132,horizontal base and straight lines
SAL_103b,VCS_260,5,4,-492,-164,horizontal base and straight lines
SAL_103b,VCS_270,5,4,-552,-242,horizontal base and straight lines
SAL_103b,VCS_280,5,4,-531,-136,horizontal base and straight lines
SAL_103b,VCS_290,5,4,-431,-167,horizontal base and straight lines
SAL_103b,VCS_300,5,4,-464,-183,horizontal base and straight lines
SAL_103b,VCS_310,5,5,-237,8,stars with straight edges
SAL_103b,VCS_320,5,5,-372,69,stars with straight edges
SAL_103b,VCS_330,5,5,-239,58,stars with straight edges
SAL_103b,VCS_340,5,5,-295,24,stars with straight edges
SAL_103b,VCS_350,5,5,-298,77,stars with straight edges
SAL_103b,VCS_360,5,5,-351,20,stars with straight edges
SAL_104b,VCS_10,7,1,-239,143,somewhat pointed sides
SAL_104b,VCS_330,7,1,-186,140,somewhat pointed sides
SAL_104b,VCS_340,7,1,-286,147,somewhat pointed sides
SAL_104b,VCS_350,7,1,-205,200,somewhat pointed sides
SAL_104b,VCS_360,7,1,-252,177,somewhat pointed sides
SAL_104b,VCS_100,7,2,451,-131,u shape on top with flatter bottom
SAL_104b,VCS_110,7,2,458,-313,u shape on top with flatter bottom
SAL_104b,VCS_130,7,2,460,-373,u shape on top with flatter bottom
SAL_104b,VCS_80,7,2,454,-197,u shape on top with flatter bottom
SAL_104b,VCS_90,7,2,454,-255,u shape on top with flatter bottom
SAL_104b,VCS_120,7,3,451,-64,u shape on top with flatter bottom
SAL_104b,VCS_140,7,3,448,2,u shape on top with flatter bottom
SAL_104b,VCS_150,7,3,450,65,u shape on top with flatter bottom
SAL_104b,VCS_160,7,4,144,367,resembles a vase shape
SAL_104b,VCS_170,7,4,225,370,resembles a vase shape
SAL_104b,VCS_180,7,4,183,404,resembles a vase shape
SAL_104b,VCS_190,7,4,186,331,resembles a vase shape
SAL_104b,VCS_250,7,4,229,232,top half resembles a star with a square shaped bottom
SAL_104b,VCS_20,7,5,-86,-99,four somewhat rounded points
SAL_104b,VCS_30,7,5,-105,-133,four somewhat rounded points
SAL_104b,VCS_40,7,5,-131,-97,four somewhat rounded points
SAL_104b,VCS_50,7,5,-135,-132,four somewhat rounded points
SAL_104b,VCS_60,7,5,-119,-55,four somewhat rounded points
SAL_104b,VCS_70,7,5,-55,-145,four somewhat rounded points
SAL_104b,VCS_200,7,6,-38,383,slightly rounded pentagons
SAL_104b,VCS_210,7,6,-108,338,slightly rounded pentagons
SAL_104b,VCS_220,7,6,-37,317,slightly rounded pentagons
SAL_104b,VCS_230,7,7,144,115,top half resembles a star with a square shaped bottom
SAL_104b,VCS_240,7,7,304,223,top half resembles a star with a square shaped bottom
SAL_104b,VCS_260,7,7,196,166,top half resembles a star with a square shaped bottom
SAL_104b,VCS_270,7,7,211,99,top half resembles a star with a square shaped bottom
SAL_104b,VCS_280,7,7,315,150,top half resembles a star with a square shaped bottom
SAL_104b,VCS_290,7,7,258,179,top half resembles a star with a square shaped bottom
SAL_104b,VCS_300,7,7,307,86,top half resembles a star with a square shaped bottom
SAL_104b,VCS_310,7,7,254,116,top half resembles a star with a square shaped bottom
SAL_104b,VCS_320,7,7,258,50,top half resembles a star with a square shaped bottom
SAL_105b,VCS_10,2,1,0,14,four points
SAL_105b,VCS_20,2,1,32,-11,four points
SAL_105b,VCS_30,2,1,10,-26,four points
SAL_105b,VCS_320,2,1,36,-5,four points
SAL_105b,VCS_330,2,1,-8,19,four points
SAL_105b,VCS_340,2,1,2,-9,four points
SAL_105b,VCS_350,2,1,7,0,four points
SAL_105b,VCS_360,2,1,20,3,four points
SAL_105b,VCS_40,2,1,-24,-28,four points
SAL_105b,VCS_50,2,1,-1,-13,four points
SAL_105b,VCS_60,2,1,-48,6,four points
SAL_105b,VCS_70,2,1,24,-9,four points
SAL_105b,VCS_100,2,2,-395,221,flat bottom
SAL_105b,VCS_110,2,2,-347,231,flat bottom
SAL_105b,VCS_120,2,2,-410,163,flat bottom
SAL_105b,VCS_130,2,2,-357,225,flat bottom
SAL_105b,VCS_140,2,2,-365,119,flat bottom
SAL_105b,VCS_150,2,2,-418,182,flat bottom
SAL_105b,VCS_160,2,2,-375,248,flat bottom
SAL_105b,VCS_170,2,2,-456,171,flat bottom
SAL_105b,VCS_180,2,2,-513,149,flat bottom
SAL_105b,VCS_190,2,2,-399,273,flat bottom
SAL_105b,VCS_200,2,2,-468,272,flat bottom
SAL_105b,VCS_210,2,2,-398,219,flat bottom
SAL_105b,VCS_220,2,2,-396,108,flat bottom
SAL_105b,VCS_230,2,2,-419,218,flat bottom
SAL_105b,VCS_240,2,2,-491,262,flat bottom
SAL_105b,VCS_250,2,2,-458,221,flat bottom
SAL_105b,VCS_260,2,2,-420,123,flat bottom
SAL_105b,VCS_270,2,2,-465,119,flat bottom
SAL_105b,VCS_280,2,2,-510,200,flat bottom
SAL_105b,VCS_290,2,2,-425,159,flat bottom
SAL_105b,VCS_300,2,2,-432,111,flat bottom
SAL_105b,VCS_310,2,2,-499,218,flat bottom
SAL_105b,VCS_80,2,2,-420,187,flat bottom
SAL_105b,VCS_90,2,2,-417,214,flat bottom
SAL_106b,VCS_10,2,1,-92,93,edges
SAL_106b,VCS_190,2,1,13,191,edges
SAL_106b,VCS_200,2,1,-98,261,edges
SAL_106b,VCS_210,2,1,-27,138,edges
SAL_106b,VCS_220,2,1,-376,144,edges
SAL_106b,VCS_230,2,1,-61,211,edges
SAL_106b,VCS_240,2,1,-185,173,edges
SAL_106b,VCS_250,2,1,-310,123,edges
SAL_106b,VCS_260,2,1,-361,219,edges
SAL_106b,VCS_270,2,1,-292,192,edges
SAL_106b,VCS_280,2,1,-195,108,edges
SAL_106b,VCS_290,2,1,-247,141,edges
SAL_106b,VCS_300,2,1,-241,281,edges
SAL_106b,VCS_310,2,1,-237,218,edges
SAL_106b,VCS_320,2,1,-296,252,edges
SAL_106b,VCS_330,2,1,-131,205,edges
SAL_106b,VCS_340,2,1,-179,243,edges
SAL_106b,VCS_350,2,1,-94,153,edges
SAL_106b,VCS_360,2,1,-135,120,edges
SAL_106b,VCS_100,2,2,-140,-126,curves
SAL_106b,VCS_110,2,2,-328,-243,curves
SAL_106b,VCS_120,2,2,-320,-170,curves
SAL_106b,VCS_130,2,2,-268,-274,curves
