subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
0TU6H,.الرجاء تسمية هذه الصورة,32.477,14016,نجمه,9416,42.928,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_280.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,50.561,7587,مثلث,2018,53.606,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,61.338,7686,كلب,2696,65.06,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,dog.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,74.442,9338,شكل غريب,3788,79.255,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_130.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,101.807,22507,يشبه شكل النجوم في الفضاء,2281,105.116,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_10.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,111.615,6453,نجمه,5845,118.484,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_250.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,124.936,6410,شكل غريب,2261,128.22,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_160.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,158.736,30467,مانيكان للجزء العلوي للسيدات,3025,162.783,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_100.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,173.005,10158,شكل عشوائي,2277,176.309,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_70.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,184.758,8405,شاره شرطه,1325,187.11,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_310.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,196.036,8869,شكل هندسي,1356,198.416,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_220.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,205.444,6991,مربع,2688,209.159,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,square.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,215.67,6469,شاره شرطه,1625,218.317,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_190.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,223.406,5045,لا اعرف,1214,225.647,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_40.png,1,trial_lists/trial_list_1
0TU6H,.الرجاء تسمية هذه الصورة,241.013,15325,نوع من انواع الشارات,1987,244.031,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_340.png,1,trial_lists/trial_list_1
