subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
0z8vY,.الرجاء تسمية هذه الصورة,27.676,23417,كلب,3792,32.511,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,38.443,5897,مثلث,2490,41.957,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,53.162,11171,نجم مثلث,3451,57.651,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_360.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,70.18,12493,سوباعي مموج,1532,72.75,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_180.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,81.772,8974,نجم معوق,1444,84.235,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_330.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,93.458,9191,نجم مربع,4960,99.439,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_270.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,113.446,13971,نجمه,3578,118.066,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_30.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,125.559,7425,وجه ارنب,3191,129.783,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_120.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,145.54,15710,سداسي مموج,1503,148.072,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_150.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,172.416,24297,نجم مكعب,2141,175.591,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_300.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,189.008,13350,نجم مربع,7213,197.262,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_240.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,207.181,9869,مربع,2131,210.338,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,square.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,222.042,11668,وجه ارنب,2144,225.22,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_90.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,244.039,18794,خماسي مموج,3439,248.518,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_210.png,3,trial_lists/trial_list_3
0z8vY,.الرجاء تسمية هذه الصورة,277.29,28742,علامة ضرب مموجه,2379,280.696,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_60.png,3,trial_lists/trial_list_3
