subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
13AGY,.الرجاء تسمية هذه الصورة,91.013,10678,مخمس,4527,96.575,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_210.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,104.282,7665,نجم,1771,107.085,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_330.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,115.037,7915,مربع,916,116.989,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,square.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,125.271,8252,نجم,3585,129.888,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_300.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,147.218,17288,ارنب,3977,152.224,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_120.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,160.164,7906,ارنب,1891,163.084,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_90.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,171.668,8546,نينجا,1420,174.122,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_360.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,185.473,11318,ذئب,1968,188.472,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,193.466,4957,مثلث,1712,196.211,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,203.168,6921,مزهرية,1552,205.745,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_150.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,214.834,9058,تاج,2158,218.02,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_270.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,225.549,7496,تاج,1888,228.466,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_240.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,237.185,8683,قبعة,1504,239.72,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_180.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,249.619,9862,وردة,1286,251.933,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_30.png,3,trial_lists/trial_list_3
13AGY,.الرجاء تسمية هذه الصورة,264.063,12100,منحني,1800,266.89,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_60.png,3,trial_lists/trial_list_3
