subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
1uZ4i,.الرجاء تسمية هذه الصورة,54.308,14030,مزهرية,13612,68.951,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_150.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,90.696,21708,فستان قصير,5188,96.901,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_120.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,117.129,20201,نجمة,1417,119.567,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_360.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,138.186,18585,نجمة المربع,2207,141.414,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_270.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,164.69,23250,درع للمحارب,3390,169.1,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_180.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,203.143,34014,فستان قصير,1184,205.348,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_90.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,229.014,23631,رجل بطة,2064,232.101,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_300.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,242.677,10545,مربع,1413,245.112,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,square.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,259.722,14583,منزل,1799,262.543,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_210.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,276.073,13498,ذئب,1105,278.2,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,dog.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,289.594,11367,بقعة من الحبر,3101,293.713,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_60.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,355.298,61556,نجمة النينجا,5685,362.001,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_330.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,375.351,13322,بقعة من العصير,1755,378.126,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_30.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,384.15,5998,مثلث,1203,386.377,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,triangle.png,3,trial_lists/trial_list_3
1uZ4i,.الرجاء تسمية هذه الصورة,511.812,125407,نجمة المربع,1244,514.075,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_240.png,3,trial_lists/trial_list_3
