subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
32ZBs,.الرجاء تسمية هذه الصورة,29.184,19314,طائرة,11543,41.77,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_320.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,50.267,8441,مثلث,3365,54.661,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,79.245,24546,كنزة,2530,82.806,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_110.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,100.466,17613,نجمة مربعية,1626,103.112,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_260.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,138.879,35739,نجمةوشبه مربع,1242,141.143,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_290.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,150.539,9350,اكس,2851,154.416,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_20.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,166.109,11652,جرّة,1520,168.656,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_170.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,175.522,6826,اكس,1783,178.322,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_50.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,204.147,25803,شبه مربع,1456,206.625,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_200.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,217.086,10417,جرة,1421,219.527,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_140.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,233.268,13697,نجمة مع اربع زوايا,1603,235.897,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_350.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,252.495,16561,ذئب وكلب,1207,254.728,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,dog.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,264.988,10226,شبه نجمة,1077,267.087,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_230.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,278.281,11144,شبه اكس,2794,282.095,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_80.png,2,trial_lists/trial_list_2
32ZBs,.الرجاء تسمية هذه الصورة,291.826,9694,مربع,1101,293.953,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,square.png,2,trial_lists/trial_list_2
