subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
37HVv,.الرجاء تسمية هذه الصورة,126.019,23496,نجمة,9500,136.528,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_10.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,158.566,22024,مايكروب,5522,165.093,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_40.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,222.829,57709,ميكروب,5924,229.758,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_70.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,283.61,53815,نجمه,3689,288.339,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_250.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,325.162,36776,باترون,1652,327.819,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_190.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,338.294,10447,نجمه,2888,342.192,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_220.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,349.188,6964,ارنب,2680,352.898,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_130.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,359.245,6316,نجمه,2312,362.563,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_340.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,367.295,4706,نجمه,4459,372.762,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_280.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,380.094,7317,مربع,1549,382.651,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,388.168,5495,وجه,4517,393.689,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_160.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,400.059,6352,مثلث,4803,405.865,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,triangle.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,417.662,11781,نجم,1506,420.17,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_310.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,428.913,8729,ارنب,1587,431.505,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_100.png,1,trial_lists/trial_list_1
37HVv,.الرجاء تسمية هذه الصورة,440.017,8497,كلب,3930,444.953,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,dog.png,1,trial_lists/trial_list_1
