subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
37Zqu,.الرجاء تسمية هذه الصورة,84.293,20030,علامة X,18354,103.695,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_70.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,111.185,7445,كلب,10777,122.992,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,dog.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,130.812,7773,نجمة,7833,139.67,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_310.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,162.367,22675,ضرس,3295,166.683,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_160.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,194.693,27967,وسام,1929,197.642,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_190.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,208.429,10759,علامة X,4347,213.799,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_40.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,220.953,7126,مثلث,1322,223.302,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,231.599,8275,شكل خماسي,1969,234.599,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_220.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,239.842,5208,نجمة,6564,247.424,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_340.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,267.491,20026,طحلب,1345,269.858,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_130.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,274.873,4979,نجمة,1261,277.158,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_250.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,293.03,15833,علامة X,3204,297.264,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_10.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,303.126,5823,نجمة,1775,305.924,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_280.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,312.759,6813,مربع,1974,315.766,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,square.png,1,trial_lists/trial_list_1
37Zqu,.الرجاء تسمية هذه الصورة,323.069,7266,أرنب,1370,325.46,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_100.png,1,trial_lists/trial_list_1
