subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
3cAFo,.الرجاء تسمية هذه الصورة,217.453,46037,اناء,18656,237.14,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_120.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,300.646,63455,بقعة,7543,309.208,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_60.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,357.868,48613,مربع اعوج,5075,363.962,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_30.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,374.183,10180,تاج,4846,380.048,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_270.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,414.86,34770,اناء,2284,418.16,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_90.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,428.761,10557,مربع,1809,431.591,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,456.422,24792,قبعة,2653,460.096,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_210.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,484.252,24113,كلب,4087,489.36,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,537.521,48119,شبه نجمة,5348,543.888,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_300.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,3996.87,3452933,قلة,3068,4000.97,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_180.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,4017.745,16724,اناء,2843,4021.607,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_150.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,4042.758,21104,نجمة رباعية,3614,4047.388,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_360.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,4059.647,12211,مثلث,1600,4062.268,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,4069.569,7251,تاج,4054,4074.642,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_240.png,3,trial_lists/trial_list_3
3cAFo,.الرجاء تسمية هذه الصورة,4160.086,85396,وجه مزارع,1329,4162.433,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_330.png,3,trial_lists/trial_list_3
