subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
3zNu1,.الرجاء تسمية هذه الصورة,27.029,16798,شكل خماسي,10547,38.612,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_220.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,55.983,17324,مربع ملوي,3370,60.367,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_70.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,68.151,7733,نجمه رباعيه,2319,71.485,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_10.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,80.49,8963,مربع مائل,2174,83.678,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_40.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,104.6,20879,نجمه ثلاثيه,1791,107.407,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_310.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,122.311,14842,ارنب,2013,125.341,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_100.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,138.225,12862,ذئب,2016,141.254,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,148.819,7522,نجمه ثلاثيه,1407,151.24,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_340.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,159.645,8362,مربع منجم,1473,162.13,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_250.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,174.786,12610,تتطابق,2867,178.669,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_190.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,187.288,8578,ارنب مع خدود,2926,191.227,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_130.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,198.209,6943,مثلث,2293,201.515,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,triangle.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,208.402,6846,مربع منجم,1269,210.687,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_280.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,226.16,15431,ارنب مع اذن صغيره وخدود,2173,229.347,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_160.png,1,trial_lists/trial_list_1
3zNu1,.الرجاء تسمية هذه الصورة,238.898,9510,مربع واسع جداً,2221,242.135,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,square.png,1,trial_lists/trial_list_1
