subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
429Gt,.الرجاء تسمية هذه الصورة,38.536,15249,ورد,14089,53.656,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_10.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,61.912,8234,مزهرية,1259,64.195,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_160.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,73.233,9009,فراغ,1772,76.024,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,square.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,99.418,23366,سكين,1600,102.035,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_340.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,112.747,10683,بكتيريا,1614,115.387,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_40.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,120.69,5283,تاج,1573,123.284,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_280.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,133.313,10001,تاج,1876,136.215,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_250.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,145.533,9287,ارنب,2967,149.518,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_100.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,187.017,37481,لون مسكوب,1773,189.811,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_130.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,198.198,8372,وجه,1471,200.686,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_190.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,206.742,6032,مثلث,855,208.616,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,233.177,24539,مدمار,1894,236.089,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_70.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,244.305,8185,ذئب,1115,246.446,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,dog.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,254.436,7960,خماسي,1142,256.597,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_220.png,1,trial_lists/trial_list_1
429Gt,.الرجاء تسمية هذه الصورة,276.135,19511,حاد,1171,278.322,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_310.png,1,trial_lists/trial_list_1
