subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
46OnX,.الرجاء تسمية هذه الصورة,34.668,10768,خماسي,12503,48.197,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_230.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,115.576,67282,خربشه,8849,125.443,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_80.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,158.153,32630,خطوط,2615,161.788,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_110.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,169.008,7134,لا شي,1376,171.392,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_140.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,178.43,7005,مثلث,6451,185.903,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,triangle.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,204.733,18754,اكس,3170,208.919,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_50.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,214.692,5699,جره,2528,218.233,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_170.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,231.171,12872,نصف نجمه,1897,234.081,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_290.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,249.134,14994,تاج,1196,251.346,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_260.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,256.994,5572,علامه,1132,259.14,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_200.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,271.452,12249,نجمه,1105,273.568,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_320.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,288.703,15104,زائد,1071,290.789,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_350.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,296.256,5416,سبنر,1105,298.376,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_20.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,306.667,8232,كلب,1450,309.13,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,dog.png,2,trial_lists/trial_list_2
46OnX,.الرجاء تسمية هذه الصورة,316.117,6923,مربع,3061,320.193,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,square.png,2,trial_lists/trial_list_2
