subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
4DBY1,.الرجاء تسمية هذه الصورة,41.629,10696,كلب,27872,70.517,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,84.857,14301,مربع له رؤؤس,9029,94.892,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_250.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,105.044,10110,مربع,4853,110.905,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_220.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,118.855,7908,منحنى,1912,121.774,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_100.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,134.196,12387,مضلع,4601,139.805,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_340.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,146.751,6908,مربع,5024,152.781,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_280.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,161.648,8835,مربع,4745,167.403,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,square.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,183.406,15958,مضلع,5492,189.904,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_310.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,195.406,5460,منحنى,2563,198.975,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_40.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,206.516,7501,منحنه له زوايا,2153,209.674,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_160.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,219.363,9646,مضلع,2462,222.831,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_10.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,228.553,5676,مثلث,1705,231.265,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,triangle.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,254.199,22893,شكل مبهم,2562,257.767,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_190.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,263.734,5923,منحنى,1565,266.316,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_70.png,1,trial_lists/trial_list_1
4DBY1,.الرجاء تسمية هذه الصورة,271.17,4808,منحنى,1649,273.825,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_130.png,1,trial_lists/trial_list_1
