subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
4cyvp,.الرجاء تسمية هذه الصورة,31.217,9570,مزهرية,10321,42.555,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_150.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,46.579,3990,نجمة,4983,52.569,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_360.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,62.73,10128,جائزة,4437,68.173,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_300.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,78.063,9861,قلادة,4363,83.431,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_240.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,88.236,4774,بكتيريا,1839,91.08,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_30.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,133.323,42211,بالون,1594,135.922,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_60.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,142.124,6168,كلب,4875,148.004,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,155.197,7159,مانيكان,1661,157.863,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_90.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,167.858,9964,مشد للخصر,1424,170.287,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_120.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,178.66,8340,إطار,1476,181.143,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,188.929,7753,خماسي الشكل,1259,191.192,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_210.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,200.612,9391,نجمة مدببة,1483,203.101,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_330.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,209.802,6669,مثلث,1429,212.235,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,220.451,8184,فخار,2872,224.328,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_180.png,3,trial_lists/trial_list_3
4cyvp,.الرجاء تسمية هذه الصورة,245.619,21258,كأس,2166,248.79,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_270.png,3,trial_lists/trial_list_3
