subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
4fcUg,.الرجاء تسمية هذه الصورة,65.91,24016,ذئب,25995,92.993,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,110.669,17568,نجم,6195,117.881,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_320.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,130.654,12714,فازه,5684,137.431,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_170.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,157.202,19712,ورده رباعية البتلات,2423,160.645,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_350.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,181.841,21149,لعبت ببليه,2122,184.977,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_20.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,211.264,26230,نص نجمه و نص مربع,2065,214.343,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_260.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,234.193,19789,نص نجمه ونص مربع,3569,238.783,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_290.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,256.973,18152,شعار,4909,262.894,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_200.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,291.154,28208,عجين,5533,297.708,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_80.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,303.63,5880,مربع,2703,307.347,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,316.666,9268,ببليه,6519,324.201,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_50.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,345.922,21674,نصف نجمه ونصف مربع,1767,348.7,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_230.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,357.069,8321,مثلث,3285,361.374,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,369.197,7770,مزهريه,2194,372.401,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_140.png,2,trial_lists/trial_list_2
4fcUg,.الرجاء تسمية هذه الصورة,384.802,12356,مرهريه,5440,391.253,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_110.png,2,trial_lists/trial_list_2
