subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
53AuZ,.الرجاء تسمية هذه الصورة,42.231,13660,درع,16232,59.471,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_120.png,3,trial_lists/trial_list_3
53AuZ,.الرجاء تسمية هذه الصورة,67.94,8434,ذئب,4605,73.55,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,dog.png,3,trial_lists/trial_list_3
53AuZ,.الرجاء تسمية هذه الصورة,89.978,16395,نجمة,3294,94.277,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_30.png,3,trial_lists/trial_list_3
53AuZ,.الرجاء تسمية هذه الصورة,111.39,17080,شكل رباعي,1539,113.933,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_330.png,3,trial_lists/trial_list_3
53AuZ,.الرجاء تسمية هذه الصورة,152.013,38048,شكل غير معروف,2449,155.466,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_180.png,3,trial_lists/trial_list_3
53AuZ,.الرجاء تسمية هذه الصورة,167.036,11538,شكل رباعي,2749,170.79,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_360.png,3,trial_lists/trial_list_3
53AuZ,.الرجاء تسمية هذه الصورة,204.041,21547,لا شيء,5383,210.428,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_150.png,3,trial_lists/trial_list_3
53AuZ,.الرجاء تسمية هذه الصورة,249.699,9378,مثلث,3350,254.054,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,triangle.png,3,trial_lists/trial_list_3
53AuZ,.الرجاء تسمية هذه الصورة,273.841,19756,شكل هندسي,5991,280.837,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_270.png,3,trial_lists/trial_list_3
53AuZ,.الرجاء تسمية هذه الصورة,297.609,16742,شكل غير معروف,2316,300.929,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_210.png,3,trial_lists/trial_list_3
53AuZ,.الرجاء تسمية هذه الصورة,318.458,17497,لا اعلم,3746,323.208,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_300.png,3,trial_lists/trial_list_3
53AuZ,.الرجاء تسمية هذه الصورة,339.972,16731,مربع,4776,345.754,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,square.png,3,trial_lists/trial_list_3
53AuZ,.الرجاء تسمية هذه الصورة,365.02,19236,شكل نجمي,3264,369.29,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_60.png,3,trial_lists/trial_list_3
