subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
5HbFJ,.الرجاء تسمية هذه الصورة,12.467,5061,نجمة,16153,29.63,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_360.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,43.046,13391,بنتاقون,9818,53.869,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_210.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,61.411,7519,لا اعرف,1527,63.942,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_60.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,72.504,8540,ذئب,4942,78.45,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,82.102,3629,لاعرف,1610,84.716,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_150.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,90.954,6215,لا اعرف,1250,93.208,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_270.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,97.661,4430,لا اعرف,1017,99.689,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_240.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,105.338,5629,لا اعرف,1114,107.458,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_30.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,111.555,4074,لا اعرف,1124,113.682,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_330.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,117.691,3987,مثلث,3785,122.481,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,triangle.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,130.024,7521,ڤازه,1877,132.906,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_180.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,136.627,3697,لا اعرف,1250,138.882,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_300.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,143.101,4195,لا اعرف,1233,145.339,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_120.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,151.68,6319,لا اعرف,957,153.642,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_90.png,3,trial_lists/trial_list_3
5HbFJ,.الرجاء تسمية هذه الصورة,156.998,3333,مربع,1229,159.231,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,square.png,3,trial_lists/trial_list_3
