subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
5Q8aW,.الرجاء تسمية هذه الصورة,21.148,11449,كلب,10069,32.251,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,39.309,7014,مزهرية,11425,51.749,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_170.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,64.691,12898,شكل هندسي,2368,68.077,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_320.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,79.902,11785,بلوزة,3893,84.81,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_110.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,94.189,9336,قلعة,2515,97.718,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_260.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,104.506,6749,نجمة البحر,1301,106.822,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_20.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,113.528,6662,شكل هندسي,1530,116.079,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_230.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,122.28,6156,نجمة البحر,1206,124.499,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_350.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,130.133,5592,مربع,1645,132.791,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,139.972,7141,مثلث,1088,142.073,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,triangle.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,153.213,11101,سبينر,2032,156.259,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_50.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,163.077,6778,شكل هندسي,1214,165.303,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_200.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,171.687,6345,بلوزة,1080,173.79,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_80.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,181.432,7601,شكل هندسي,1219,183.665,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_290.png,2,trial_lists/trial_list_2
5Q8aW,.الرجاء تسمية هذه الصورة,203.408,19704,بلوزة ل بنت تخينة شوي ههههه,1366,205.789,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_140.png,2,trial_lists/trial_list_2
