subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
5eazc,.الرجاء تسمية هذه الصورة,230.823,155055,Pentagon,17729,249.589,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_230.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,299.751,50111,🙂,8023,308.792,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_200.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,391.682,82855,🙂,6267,398.975,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_80.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,431.453,32433,نجمة 🙂,3753,436.242,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_20.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,449.314,13023,مربع فارغ,5444,455.779,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,square.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,479.999,24184,Star,3323,484.347,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_320.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,512.548,28172,مثلث,1719,515.291,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,529.598,14263,نجمة 🙂👍,2586,533.208,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_290.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,545.14,11895,تاج 😂,4199,550.369,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_260.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,557.159,6755,🙂,4218,562.394,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_170.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,575.652,13232,🙂,1264,577.937,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_110.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,583.571,5599,نجمة,1929,586.527,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_350.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,609.641,23075,🙂,1249,611.92,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_140.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,630.405,18440,نجمة البحر,1905,633.338,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_50.png,2,trial_lists/trial_list_2
5eazc,.الرجاء تسمية هذه الصورة,680.051,46676,Dog,21523,702.608,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,dog.png,2,trial_lists/trial_list_2
