subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
5hfUZ,.الرجاء تسمية هذه الصورة,36.117,14498,درع تخرج,24160,61.332,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_170.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,68.899,7453,مثلث,4217,74.139,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,92.009,17815,زهره,4051,97.078,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_20.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,104.812,7686,ارنب,4026,109.855,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_110.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,120.105,10205,ارنب,4126,125.248,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_80.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,131.194,5900,دب,1575,133.789,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_140.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,144.966,11125,مربع كبير,1949,147.932,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,square.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,155.942,7964,نجمه,2362,159.321,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_320.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,166.958,7585,رقعه,2246,170.221,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_50.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,177.549,7271,درع,2991,181.559,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_200.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,189.338,7726,كلب,1438,191.791,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,dog.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,202.484,10669,تاج,1628,205.127,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_230.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,214.082,8911,نجمه,2863,217.963,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_290.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,228.552,10533,نجمه,1410,230.98,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_350.png,2,trial_lists/trial_list_2
5hfUZ,.الرجاء تسمية هذه الصورة,243.725,12693,شعار نجمه,1795,246.539,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_260.png,2,trial_lists/trial_list_2
