subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
6JfP3,.الرجاء تسمية هذه الصورة,65.343,12537,جسم,16896,83.248,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_150.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,102.45,19167,علامة ضارب,8631,112.086,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_30.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,125.15,13049,لا اعلم,3584,129.741,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_90.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,137.347,7574,رباعي,2171,140.522,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_210.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,149.36,8806,نجمة مربعة,1510,151.875,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_270.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,166.341,14441,ذئب قطبي,2327,169.683,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,dog.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,176.521,6805,علمة معا,4699,182.226,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_360.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,188.675,6411,شكل هندسي,1359,191.042,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_180.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,203.993,12902,نجمة رباعية,1210,206.21,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_60.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,211.68,5422,مثلث,6090,218.779,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,triangle.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,222.542,3725,نجمة,1617,225.165,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_240.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,231.541,6334,مربعة,2520,235.067,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,square.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,239.672,4572,هلام,1262,241.939,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_120.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,245.235,3250,نجمة,1137,247.379,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_330.png,3,trial_lists/trial_list_3
6JfP3,.الرجاء تسمية هذه الصورة,250.671,3255,نجمة,1154,252.829,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_300.png,3,trial_lists/trial_list_3
