subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
6g2AB,.الرجاء تسمية هذه الصورة,27.377,11034,منحنى مغلق,15032,43.439,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_40.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,52.744,9241,خماسي,1880,55.643,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_220.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,61.739,6044,مثلث,2460,65.22,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,80.852,15589,منحنى مغلق,4174,86.042,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_100.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,98.397,12301,شكل مركب,2830,102.243,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_280.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,107.389,5121,نجمة,3082,111.49,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_10.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,117.757,6217,كلب,1027,119.804,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,126.903,7047,نجمة,1593,129.518,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_340.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,134.483,4921,مربع,1287,136.788,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,142.603,5759,شكل مركب,1006,144.625,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_310.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,166.052,21393,.,1287,168.358,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_190.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,178.568,10170,شكل مركب,2970,182.558,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_250.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,186.982,4383,.,2377,190.379,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_160.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,211.323,20901,منحنى مغلق,2108,214.457,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_130.png,1,trial_lists/trial_list_1
6g2AB,.الرجاء تسمية هذه الصورة,222.917,8422,منحنى مغلق,3293,227.226,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_70.png,1,trial_lists/trial_list_1
