subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
6vmhs,.الرجاء تسمية هذه الصورة,124.57,45180,طاقية طاهي,26686,152.299,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_290.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,208.346,55989,نجمة,2155,211.526,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_20.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,241.101,29530,تاج,2396,244.523,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_230.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,256.988,12416,كيس,3261,261.273,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_80.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,268.358,7039,اطار,1795,271.18,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,square.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,278.447,7221,درع,1651,281.124,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_170.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,336.004,54837,شفره ساموراي,2240,339.268,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_350.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,350.817,11498,كيس,2266,354.107,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_110.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,407.562,53411,كوكيز زنجبيل بدون راس,2320,410.905,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_50.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,418.189,7243,مثلث,4179,423.396,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,triangle.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,428.607,5173,درع,2042,431.676,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_200.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,502.419,70693,شبه نجمة,2348,505.796,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_320.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,513.021,7173,درع,2354,516.401,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_140.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,534.589,18142,رسم كلب,1873,537.488,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,dog.png,2,trial_lists/trial_list_2
6vmhs,.الرجاء تسمية هذه الصورة,552.614,15085,قبعة طاهي,4270,557.911,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_260.png,2,trial_lists/trial_list_2
