subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
7WoMs,.الرجاء تسمية هذه الصورة,181.501,16399,طاقية,20969,203.502,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_290.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,226.842,23268,فراغ محدد,2248,230.099,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,245.491,15366,ورقة,2382,248.885,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_200.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,258.627,9714,نجمة,2384,262.018,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_320.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,278.824,16772,نجمة,1253,281.085,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_350.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,294.419,13310,وجه ارنب,2195,297.621,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_110.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,312.741,15086,وجه بقرة,2176,315.925,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_140.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,334.066,18115,وجه ماشية,2500,337.574,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_170.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,347.678,10079,بقعة,1654,350.342,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_50.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,363.89,13513,ارنب فيس,2949,367.846,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_80.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,384.159,16284,ذئب,2015,387.182,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,dog.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,406.891,19681,طاقية شيف,1718,409.617,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_260.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,427.038,17395,هرم او مثلث,1473,429.52,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,441.581,12045,بقعة,1884,444.472,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_20.png,2,trial_lists/trial_list_2
7WoMs,.الرجاء تسمية هذه الصورة,458.847,14349,بسكوت,1717,461.573,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_230.png,2,trial_lists/trial_list_2
