subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
7j0vV,.الرجاء تسمية هذه الصورة,64.283,26860,مثلث متوازي الاضلاع,11570,76.876,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,98.608,21699,شبيه بالتاج,8341,107.961,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_280.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,128.188,20194,ابريق خزفي,3544,132.746,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_160.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,187.78,55005,تحفه فنيه,1140,189.933,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_190.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,224.727,34755,دميه على شل دب,3413,229.153,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_130.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,245.913,16732,يشبه نجم البحر,1271,248.197,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_40.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,286.078,37846,نجمه معزقه,3291,290.384,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_220.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,343.859,53438,لعبه,1129,346,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_100.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,353.883,7832,نجمه,1648,356.544,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_10.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,411.305,54729,يشبه التاج,1451,413.772,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_310.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,420.28,6479,مربع,1821,423.116,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,446.3,23140,نجمه,1398,448.712,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_250.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,465.549,16806,سلاح للنينجا,1279,467.84,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_340.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,479.348,11469,دئب,1418,481.79,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,dog.png,1,trial_lists/trial_list_1
7j0vV,.الرجاء تسمية هذه الصورة,504.52,22697,حوض انسان,1681,507.213,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_70.png,1,trial_lists/trial_list_1
