subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
8DHaR,.الرجاء تسمية هذه الصورة,148.254,110394,شعار مكون من جزء من نجمة من الأعلى وقاعدة مربعة,34915,184.187,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_290.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,201.869,17653,حلقة خماسية,5464,208.343,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_230.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,241.012,32642,شعار نجمة من الاعلى وقاعدة مربعة,4252,246.273,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_260.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,278.842,32545,فازة للورد,4404,284.255,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_140.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,296.762,12483,نجمة رباعية,1375,299.149,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_350.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,322.314,23138,نجمة رباعية محدبة الاطراف,3382,326.705,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_20.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,340.78,14049,مثلث متساوي الساقين,2925,344.719,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,352.112,7368,كلب,3650,356.77,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,380.435,23640,حلقة متعرجة,1963,383.407,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_80.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,393.716,10279,حلقة متعرجة,2808,397.533,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_110.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,404.414,6862,مربع,2067,407.491,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,421.368,13853,شكل غير منتظم,1255,423.632,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_170.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,465.056,41398,من الاعلى مدبب والقاعدة مستقيمة الاطراف متعرجة,2308,468.373,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_200.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,479.486,11097,حرف x,1558,482.052,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_50.png,2,trial_lists/trial_list_2
8DHaR,.الرجاء تسمية هذه الصورة,514.843,32777,شبه نجمة,1581,517.434,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_320.png,2,trial_lists/trial_list_2
