subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
8GI9C,.الرجاء تسمية هذه الصورة,77.324,20246,جرة,9024,87.384,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_130.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,99.175,11747,مزهرية,2121,102.323,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_250.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,120.998,18650,شكل هندسي,1340,123.359,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_220.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,136.465,13073,شكل هندسي,1689,139.172,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_160.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,145.972,6761,كلب,3655,150.656,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,dog.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,157.959,7272,مثلث,1643,160.632,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,triangle.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,165.779,5113,شكل,1532,168.343,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_100.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,176.884,8506,شكل,1455,179.358,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_10.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,185.643,6262,مربع,4576,191.249,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,200.029,8746,شكل,3023,204.074,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_40.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,208.701,4596,شكل,1862,211.586,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_190.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,222.886,11266,شكل هندسي,4676,228.59,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_310.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,236.274,7652,شكل,2423,239.718,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_70.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,243.602,3856,شكل,1859,246.482,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_340.png,1,trial_lists/trial_list_1
8GI9C,.الرجاء تسمية هذه الصورة,251.869,5355,شكل هندسي,1680,254.566,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_280.png,1,trial_lists/trial_list_1
