subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
8JKsu,.الرجاء تسمية هذه الصورة,512.161,178347,شبيه شكل هندسي,16162,529.345,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_70.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,546.908,17542,مكعب نجمه,6084,554.011,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_280.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,584.665,30638,شكل غريب,4821,590.505,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_40.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,603.936,13415,ثعلب,7747,612.708,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,623.793,11071,شبيه ارنب,6219,631.03,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_100.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,651.677,20632,مكعب زجزاج,2296,654.992,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_190.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,680.221,25214,مربع,2295,683.536,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,square.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,698.709,15155,نجمه,1742,701.469,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_340.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,785.169,83685,نجمه غير منتظمه,4654,790.844,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_310.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,821.607,30749,شكل غير منتظم,4816,827.447,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_10.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,861.836,34373,خماسي الاضلاع,3380,866.24,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_220.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,890.103,23845,شكل غريب,2592,893.715,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_130.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,905.088,11358,مربع نجمه,3070,909.182,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_250.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,931.385,22189,مربع غير منتظم,2527,934.929,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_160.png,1,trial_lists/trial_list_1
8JKsu,.الرجاء تسمية هذه الصورة,939.171,4227,مثلث,2645,942.838,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,triangle.png,1,trial_lists/trial_list_1
