subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
8wiKO,.الرجاء تسمية هذه الصورة,15.77,11963,مثلث,1561,18.359,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,26.688,8276,فخار,1862,29.566,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_190.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,38.859,9256,سلاح نينجا,1632,41.513,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_10.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,86.554,45004,علبه,1273,88.847,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_340.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,102.105,13216,فخار,1319,104.449,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_160.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,117.787,13297,كلب,1624,120.438,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,dog.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,131.826,11346,حاويه,1285,134.131,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_100.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,141.113,6935,نجمه,1302,143.437,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_250.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,152.72,9239,أوساخ,2476,156.215,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_70.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,166.948,10692,علبه,993,168.954,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_280.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,178.262,9267,اشاره ضرب,1341,180.63,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_40.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,188.08,7412,نجمه,1243,190.338,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_220.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,198.133,7750,مربع,1422,200.588,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,square.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,207.613,6973,فخار,2144,210.776,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_130.png,1,trial_lists/trial_list_1
8wiKO,.الرجاء تسمية هذه الصورة,218.645,7825,نجمه,1721,221.389,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_310.png,1,trial_lists/trial_list_1
