subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
92CFn,.الرجاء تسمية هذه الصورة,14123.808,56382,ارنب,5859,14130.69,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_120.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14141.417,10702,نجمة,2162,14144.594,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_330.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14159.33,14708,خماسي,1008,14161.353,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_240.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14221.967,60584,فستان,1810,14224.791,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_90.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14243.795,18976,بقعة,3765,14248.575,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_60.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14265.079,16475,مربع,1661,14267.757,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14305.063,37282,قبعة السلطان,8300,14314.38,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_210.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14328.517,14108,قبعة الطباخ,1550,14331.084,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_300.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14348.137,17026,ذئب,1563,14350.716,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,dog.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14359.989,9243,مثلث,986,14361.991,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,triangle.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14374.232,12213,وجة بووه,942,14376.189,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_150.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14400.996,24777,نجم مربع,8541,14410.553,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_270.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14428.099,17517,جرة,1402,14430.516,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_180.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14457.582,27037,نجمة رباعية,863,14459.46,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_360.png,3,trial_lists/trial_list_3
92CFn,.الرجاء تسمية هذه الصورة,14485.112,25622,منحنيات رباعية,2807,14488.933,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_30.png,3,trial_lists/trial_list_3
