subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
9KdrI,.الرجاء تسمية هذه الصورة,88.241,30583,زائد,13118,102.374,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_30.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,122.447,20041,فراخ,2382,125.835,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,132.11,6256,ارنب,1682,134.798,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_120.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,145.549,10727,ذئب,4168,150.722,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,161.122,10367,تاج,4726,166.852,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_270.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,171.825,4941,تاج,4910,177.739,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_300.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,205.934,28163,خطأ,1334,208.273,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_60.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,213.474,5169,نجمة,1311,215.789,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_330.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,222.629,6829,نجمة,1255,224.892,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_360.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,241.45,16526,كلب,4054,246.509,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_150.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,252.583,6043,نجمة,1438,255.035,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_240.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,266.103,11040,خماسي,1838,268.945,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_210.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,273.789,4812,مثلث,1216,276.01,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,283.101,7060,ارنب,1220,285.325,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_90.png,3,trial_lists/trial_list_3
9KdrI,.الرجاء تسمية هذه الصورة,291.636,6281,فاظة,2303,294.945,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_180.png,3,trial_lists/trial_list_3
