subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
9OpQ5,.الرجاء تسمية هذه الصورة,108.876,58366,شكل هندسي,8576,118.476,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_180.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,139.632,21108,نجمة و مربع,1937,142.587,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_270.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,151.782,9163,نجمة,1249,154.042,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_330.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,168.852,14779,مربع محدب,1732,171.603,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_210.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,186.627,14988,كلب,1280,188.923,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,dog.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,301.362,112408,شكل هندسي,1375,303.752,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_60.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,315.448,11661,شكل هندسي,1175,317.636,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_240.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,328.184,10516,شكل هندسي,1086,330.283,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_30.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,338.733,8416,شكل هندسي,1196,340.941,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_90.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,350.777,9799,شكل هندسي,1155,352.953,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_120.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,359.948,6967,نجمة,2806,363.766,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_360.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,372.497,8705,شكل هندسي,1286,374.795,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_150.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,383.217,8386,شكل هندسي,1349,385.577,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_300.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,395.218,9600,مثلث,2615,398.848,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,triangle.png,3,trial_lists/trial_list_3
9OpQ5,.الرجاء تسمية هذه الصورة,404.528,5654,مربع,4273,409.826,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,square.png,3,trial_lists/trial_list_3
