subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
9ZsVY,.الرجاء تسمية هذه الصورة,63.196,13305,نجمة,23938,88.143,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_360.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,136.494,48336,خُماسي الأضلاع,4359,141.86,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_210.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,209.911,68039,رسمة عشوائية,6159,217.077,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_120.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,315.296,98206,رسمة عشوائية,1094,317.398,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_60.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,377.238,59827,نجمة,3863,382.109,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_30.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,387.88,5759,كلب,2432,391.32,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,dog.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,416.833,25502,نجمة الكرسميس,1717,419.561,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_300.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,493.136,73561,نص مربع مع نص نجمة,2222,496.365,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_270.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,523.176,26800,رسمة عشوائية,1339,525.524,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_90.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,570.437,44889,نجمة مؤلفة من 10 اضلع,1558,573.005,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_330.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,579.314,6263,مثلث,872,581.194,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,594.819,13613,مزهرية,2148,597.973,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_150.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,615.74,17753,نص مربع مع نص نجمة,1698,618.447,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_240.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,623.53,5065,مربع,1791,626.328,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,square.png,3,trial_lists/trial_list_3
9ZsVY,.الرجاء تسمية هذه الصورة,635.685,9345,رسمة عشوائية,3186,639.878,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_180.png,3,trial_lists/trial_list_3
