subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
A5VeH,.الرجاء تسمية هذه الصورة,12.224,6927,مربع,3354,16.6,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,square.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,67.188,50557,مزهرية,3550,71.769,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_170.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,90.158,18345,كيس بلاستيك مربوط,14650,105.819,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_110.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,113.379,7538,بقعة,2179,116.568,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_50.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,127.619,11032,ذئب,2207,130.835,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,dog.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,137.269,6411,نجمة بحر,1892,140.169,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_20.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,149.176,8988,مضلع غير منتظم,3039,153.226,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_260.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,165.841,12588,مثلث متساوي الساقين,1972,168.822,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,triangle.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,178.592,9750,كيس بلاستيك مربوط,3624,183.225,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_80.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,188.718,5469,مزهرية,2882,192.609,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_140.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,198.978,6342,نجمة بحر,1840,201.827,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_350.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,214.858,13004,عشاري غير منتظم,2308,218.176,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_320.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,235.848,17645,تساعي غير منتظم,2519,239.378,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_230.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,251.346,11938,خماسي غير منتظم,2820,255.178,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_200.png,2,trial_lists/trial_list_2
A5VeH,.الرجاء تسمية هذه الصورة,270.431,15228,تساعي غير منتظم,2192,273.632,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_290.png,2,trial_lists/trial_list_2
