subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
ATgHt,.الرجاء تسمية هذه الصورة,54.084,35876,مثلث متساوي الساقين,34206,89.327,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,106.905,17522,كلب,4564,112.503,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,dog.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,125.659,13101,شكل,3205,129.885,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_120.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,143.537,13602,شكل,1652,146.211,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_180.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,153.834,7584,نجمه,2975,157.831,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_300.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,168.311,10447,مزهريه,1443,170.782,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_150.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,175.554,4734,نجمه,3074,179.661,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_240.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,208.02,28296,نجمه فضيه,2205,211.261,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_360.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,219.679,8368,مكعب,1922,222.639,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,261.246,38549,سلايم,1222,263.498,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_90.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,273.315,9762,فيروس,2149,276.504,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_60.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,301.322,24778,اداه محاربه الكونج فو,1697,304.055,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_30.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,311.164,7067,نجمه,1323,313.518,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_330.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,320.666,7100,لا أعرف,1288,322.979,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_210.png,3,trial_lists/trial_list_3
ATgHt,.الرجاء تسمية هذه الصورة,333.6,10591,نجمه مربعه,1341,335.97,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_270.png,3,trial_lists/trial_list_3
