subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
AVXop,.الرجاء تسمية هذه الصورة,54.569,38940,المنحني الضيق,10180,65.773,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_120.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,87.586,21776,Hollywood,6222,94.826,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_300.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,125.322,30462,الفاس,2071,128.416,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_30.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,147.441,18967,الشهاب المدبب,14702,163.184,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_360.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,187.502,24270,اللاشي,2975,191.5,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,square.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,218.325,26790,الخماسي الماءل للمربع,1383,220.736,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_210.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,241.221,20456,نجمه مربعه,1901,244.138,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_240.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,262.224,18058,Floating x,4446,267.705,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_60.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,288.052,20310,Dress,2017,291.091,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_90.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,307.553,16406,Stary cup,2890,311.462,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_270.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,324.951,13445,Tall triangle,1232,327.224,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,363.665,36402,Hidrovine,5159,369.845,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_150.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,384.851,14932,ثعلب بري,1576,387.447,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,dog.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,404.193,16705,Prepentagon,2635,407.859,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_180.png,3,trial_lists/trial_list_3
AVXop,.الرجاء تسمية هذه الصورة,437.459,29517,A sharp star,2407,440.882,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_330.png,3,trial_lists/trial_list_3
