subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
AX7Th,.الرجاء تسمية هذه الصورة,79.273,30005,شكل من خطوط منحنية,32603,112.887,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_20.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,122.837,9906,مربع,5413,129.26,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,135.855,6556,مثلث,3735,140.596,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,151.269,10661,كلب,1913,154.19,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,179.537,25302,شكل ماطابق الطرفين,3648,184.193,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_140.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,199.815,15581,بقعة,8394,209.221,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_50.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,230.789,21529,رسم تشكيلي,3199,234.999,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_170.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,243.335,8292,رسم تشكيلي اخر,1757,246.098,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_80.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,264.679,18532,رسمة نجمة غير مكتملة,1381,267.067,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_260.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,290.368,23257,زخرفة مباني,2275,293.65,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_290.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,311.287,17591,زخرفة ديكور,1631,313.924,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_200.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,345.45,31491,خط ع اشكال,2863,349.321,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_320.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,363.918,14554,رسمة غير مكتملة,1832,366.756,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_110.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,381.256,14456,سلاح نينجا,3785,386.047,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_350.png,2,trial_lists/trial_list_2
AX7Th,.الرجاء تسمية هذه الصورة,411.182,25096,قالب فني,2102,414.292,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_230.png,2,trial_lists/trial_list_2
