subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
B2y7o,.الرجاء تسمية هذه الصورة,189.895,36732,شبه نجمه,23752,214.678,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_230.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,248.646,33925,مربع النجمه,7363,257.024,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_260.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,304.408,47361,رأس أرنب,3267,308.691,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_80.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,411.285,102565,وجه وقاعده,1734,414.034,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_200.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,445.153,31089,فستان,1392,447.559,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_110.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,506.992,59410,كلب,1330,509.338,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,dog.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,576.281,66911,شكل هندسي,1879,579.174,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_290.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,611.512,32309,بقعه,1976,614.502,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_50.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,632.113,17586,رأس,1804,634.932,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_170.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,649.718,14762,مربع,2363,653.105,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,675.794,22662,نجم البحر,1374,678.182,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_20.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,711.642,33435,انحناءات,1841,714.497,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_140.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,721.509,6966,مثلث,3671,726.195,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,738.416,12189,نجمة,3100,742.53,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_350.png,2,trial_lists/trial_list_2
B2y7o,.الرجاء تسمية هذه الصورة,768.082,25526,رسمة,4494,773.591,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_320.png,2,trial_lists/trial_list_2
