subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
CKXzP,.الرجاء تسمية هذه الصورة,95.215,7889,انف,23553,119.807,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_110.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,137.721,17844,درع,10942,149.694,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_200.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,156.266,6524,مربع,3230,160.537,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,square.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,203.944,43348,مانيكان,4945,209.921,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_140.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,218.567,8598,نجمة,6212,225.807,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_230.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,282.083,56231,قبعة مهرج,8657,291.771,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_260.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,305.366,13546,نجمة البحر,1176,307.577,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_350.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,313.959,6341,كلب,1693,316.686,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,325.482,8755,ضرس,2754,329.265,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_170.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,356.49,27180,صامولة,3729,361.247,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_20.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,371.978,10681,مثلت,1039,374.053,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,384.046,9954,طحلب,3715,388.788,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_50.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,397.566,8726,جوكر,1711,400.307,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_290.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,411.678,11343,نجمة,2207,414.918,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_320.png,2,trial_lists/trial_list_2
CKXzP,.الرجاء تسمية هذه الصورة,464.956,49994,مريلة,2504,468.489,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_80.png,2,trial_lists/trial_list_2
