subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
Ca9lO,.الرجاء تسمية هذه الصورة,87.282,17172,شبية النجمه,10685,98.98,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_340.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,122.816,23813,التاج,5453,129.278,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_250.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,159.491,30180,مرض الكلاب,3694,164.196,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,dog.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,176.29,12063,خلية,2079,179.378,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_40.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,185.782,6367,مثلث,1455,188.245,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,triangle.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,198.262,9980,رجل بطه,1210,200.48,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_280.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,209.262,8751,وجه دب,5307,215.579,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_160.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,255.219,39606,طائر,2589,258.817,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_10.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,270.588,11735,لا يوجد,1421,273.017,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_100.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,297.749,24699,ذيل سمكه,2430,301.188,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_310.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,308.728,7501,خماسي,1231,310.97,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_220.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,333.405,22404,خزيطة,8356,342.77,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_190.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,358.037,15232,جرثومة,2727,361.773,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_70.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,381.436,19631,وجه ارنب,1609,384.056,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_130.png,1,trial_lists/trial_list_1
Ca9lO,.الرجاء تسمية هذه الصورة,388.535,4443,مربع,1259,390.805,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,square.png,1,trial_lists/trial_list_1
