subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
CfWXr,.الرجاء تسمية هذه الصورة,67.032,32334,مزهرية,34592,102.641,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_140.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,127.325,24649,كلب,2251,130.585,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,dog.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,180.5,49883,نجمة,1590,183.098,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_350.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,196.234,13102,مربع,3834,201.076,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,square.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,251.479,50372,حرف X,7045,259.531,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_50.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,276.227,16667,تاج,1811,279.046,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_230.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,333.95,54873,اشارة +,4133,339.091,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_20.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,375.27,36170,قرون,4964,381.242,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_80.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,388.381,7108,مثلث,2355,391.747,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,401.057,9279,نجمة,3354,405.419,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_320.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,436.559,31106,نجمة و قاعدة,1658,439.227,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_290.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,467.07,27810,نجمة اكبر مع نفس القاعدة,3076,471.158,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_260.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,516.477,45289,منحني ليس له شكل,6304,523.786,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_200.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,583.773,59955,مزهرية,2143,586.925,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_110.png,2,trial_lists/trial_list_2
CfWXr,.الرجاء تسمية هذه الصورة,642.111,55155,اصيص ( حوض زراعة),7419,650.543,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_170.png,2,trial_lists/trial_list_2
