subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
D01GV,.الرجاء تسمية هذه الصورة,27.327,14830,شبه نجمة,20583,48.925,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_220.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,74.089,25130,مجسم متموج,7258,82.354,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_190.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,99.888,17501,شبه نجمة,3898,104.791,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_280.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,114.803,9986,ثعلب,2433,118.242,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,125.537,7269,نجمة,1800,128.343,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_10.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,133.84,5463,مثلثل,8597,143.443,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,triangle.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,174.049,30575,هيكل لنجمة,1390,176.445,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_40.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,181.044,4571,مربع,1048,183.096,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,square.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,189.592,6466,شبه نجمة,1349,191.945,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_250.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,206.696,14721,مايكروب,2413,210.114,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_70.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,216.626,6481,لامع,1667,219.298,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_340.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,225.147,5820,هيكل,1234,227.403,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_130.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,232.115,4681,هيكل,1427,234.549,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_160.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,243.293,8718,شبه نجمة,1118,245.416,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_310.png,1,trial_lists/trial_list_1
D01GV,.الرجاء تسمية هذه الصورة,260.699,15251,هيكل شبيه للنجمة,1664,263.367,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_100.png,1,trial_lists/trial_list_1
