subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
DHEGz,.الرجاء تسمية هذه الصورة,16.084,9052,مربع فارغ,22923,40.018,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,square.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,88.384,48332,مربع يعلوه نجمه بثلاث اضلع,5697,95.088,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_290.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,116.521,21402,شكل غير منتظم,2978,120.506,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_80.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,140.725,20188,علامة x مفرغه,4851,146.581,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_50.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,173.566,26966,شكل غير منتظم,2772,177.347,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_200.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,181.79,4413,مثلث,1772,184.567,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,triangle.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,202.247,17649,نجمه مع قاعده مدببه,1965,205.217,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_320.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,215.184,9935,نجمه غير منتظمه الشكل,3330,219.52,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_350.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,228.134,8581,كلب,1764,230.905,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,dog.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,243.493,12557,علامة x,4524,249.023,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_20.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,262.32,13266,نجمة مع قاعده مربعة,1351,264.676,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_260.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,276.492,11782,رأس قطه؟,1600,279.098,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_140.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,327.719,48588,مربع يعلوه شكل سداسي ربما,2325,331.049,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_230.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,345.732,14651,شكل غير منتظم,1982,348.72,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_170.png,2,trial_lists/trial_list_2
DHEGz,.الرجاء تسمية هذه الصورة,355.115,6365,راس ارنب؟,1433,357.555,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_110.png,2,trial_lists/trial_list_2
