subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
DJFBx,.الرجاء تسمية هذه الصورة,47.24,20675,فركتال على شكل دائري,5541,53.82,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_40.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,68.025,14156,مربع ف,3352,72.414,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,114.543,42079,نجمة رباعية ناقص مثلث,1141,116.71,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_310.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,176.2,59446,دائرة بقطعة مستقيمة,1350,178.575,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_190.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,190.502,11888,فراكتال,1205,192.737,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_70.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,215.01,22237,نجمة مع شبه مثلث,1983,218.024,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_340.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,270.133,52071,نجمة رباعية ناقص مثلث معوضه مستطيل ناقص دلع,2215,273.376,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_280.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,283.084,9661,فركتال على,1317,285.426,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_130.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,304.177,18701,خوماسي باليد,1689,306.892,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_220.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,317.402,10443,نجمة باليد,1279,319.71,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_10.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,325.609,5854,مثلث,963,327.593,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,343.918,16274,نجمةمربع,1414,346.356,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_250.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,354.005,7614,فركتال,1436,356.464,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_100.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,363.044,6549,فركتال,2563,366.623,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_160.png,1,trial_lists/trial_list_1
DJFBx,.الرجاء تسمية هذه الصورة,390.794,24127,شبه كلب,2221,394.036,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,dog.png,1,trial_lists/trial_list_1
