subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
DbU7S,.الرجاء تسمية هذه الصورة,14.986,8848,بقعة,12209,28.206,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_70.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,37.6,9372,كورسيه,3469,42.073,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_130.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,49.847,7752,نجمة,3950,54.803,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_280.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,76.977,22153,جدار,2480,80.462,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_220.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,93.006,12521,مربع,1292,95.302,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,square.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,108.116,12792,حيوان,1279,110.4,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,dog.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,116.356,5932,شكل,1270,118.631,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_190.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,125.454,6799,نجمة,1590,128.048,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_250.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,137.07,8999,ستار,1830,139.905,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_310.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,145.857,5930,هرم,1317,148.18,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,triangle.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,156.158,7956,فستان,3014,160.186,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_100.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,177.535,17329,اداة قتال يابانية,1123,179.663,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_340.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,184.805,5120,بقعة,1862,187.672,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_40.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,195.314,7619,فستان سمين,1541,197.859,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_160.png,1,trial_lists/trial_list_1
DbU7S,.الرجاء تسمية هذه الصورة,201.936,4055,نجمة,1200,204.14,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_10.png,1,trial_lists/trial_list_1
