subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
E7Iuc,.الرجاء تسمية هذه الصورة,34.376,18192,فراغ,20654,56.044,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,square.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,64.737,8672,فضاء,7724,73.471,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,80.884,7369,وهم,3272,85.167,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_160.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,105.813,20602,اختلاف,1648,108.471,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,116.05,7541,تاج,1895,118.956,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_220.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,124.368,5371,أرنب,5193,130.572,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_100.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,145.85,15240,ستار ذا سكار,8813,155.677,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_340.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,162.038,6321,رز,3081,166.129,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_40.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,174.383,8209,هاه,9106,184.498,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_70.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,196.301,11763,شيف,2190,199.503,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_280.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,225.784,26239,متميز,4276,231.07,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_310.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,243.059,11947,اوكي,4706,248.778,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_250.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,268.249,19431,توب,3736,272.995,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_190.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,292.012,18976,عبقور,3230,296.252,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_130.png,1,trial_lists/trial_list_1
E7Iuc,.الرجاء تسمية هذه الصورة,308.262,11969,نار,2182,311.453,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_10.png,1,trial_lists/trial_list_1
