subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
EPySN,.الرجاء تسمية هذه الصورة,51.043,30477,تاج,9905,61.97,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_300.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,80.117,18108,كلب,3655,84.795,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,dog.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,112.059,27218,شبيه نجمة البحر,5216,118.295,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_360.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,134.556,16216,مثلث,1283,136.86,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,triangle.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,147.917,11013,ضرس,9230,158.167,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_120.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,206.17,47952,يشبه جسم المراة من فوق,2400,209.589,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_150.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,271.061,61424,لا شي,1783,273.863,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_270.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,290.539,16616,نصف نجمة,3125,294.681,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_240.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,389.763,95057,متوازي,1315,392.094,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_210.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,405.005,12867,منحني,1183,407.201,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_180.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,418.411,11182,علامة ضرب,2511,421.942,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_30.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,436.652,14668,شكل اذان ارنب,3505,441.172,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_90.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,464.211,22987,نجمة رباعية,3258,468.484,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_330.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,479.881,11369,لطخة,4910,485.811,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_60.png,3,trial_lists/trial_list_3
EPySN,.الرجاء تسمية هذه الصورة,491.681,5825,مربع,8198,500.899,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,square.png,3,trial_lists/trial_list_3
