subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
Ftm6E,.الرجاء تسمية هذه الصورة,73.055,7419,مثلث,8343,82.442,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,113.947,31434,تاج,11223,126.198,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_260.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,198.118,71878,شكل تساعى,4641,203.781,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_290.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,235.8,31986,مزهرية,1297,238.121,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_170.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,250.315,12146,شارة القائد,2447,253.78,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_200.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,276.19,22375,شكل سداسى,1703,278.92,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_230.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,283.907,4944,نجمة,2830,287.777,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_350.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,303.262,15444,فراغ,5761,310.042,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,square.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,330.475,20386,نجمة البحر,2297,333.804,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_20.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,340.728,6867,ارنب,3131,344.892,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_110.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,363.987,19032,بلوزة,1673,366.682,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_80.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,392.502,25729,شكل,1300,394.825,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_50.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,405.859,10976,كلب,2618,409.516,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,dog.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,455.57,46008,شكل,1322,457.914,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_320.png,2,trial_lists/trial_list_2
Ftm6E,.الرجاء تسمية هذه الصورة,505.439,47463,Carve,2355,508.815,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_140.png,2,trial_lists/trial_list_2
