subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
GJ3dp,.الرجاء تسمية هذه الصورة,40.706,26362,طيارة,14508,56.22,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_320.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,156.797,100562,مروحة,2420,160.233,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_20.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,165.663,5366,مثلث,1400,168.076,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,190.097,21980,سلايم,2659,193.764,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_50.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,203.249,9447,ارنب,1052,205.312,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_80.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,224.599,19247,قبعة شيف,1055,226.661,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_290.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,233.691,6987,تاج,2027,236.725,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_230.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,247.46,10714,كلب,2212,250.683,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,256.907,6187,دب,3549,261.469,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_170.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,271.543,10034,قبعة شيف,1455,274.006,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_260.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,282.328,8287,تاج,1365,284.702,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_200.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,292.366,7628,ارنب,2251,295.626,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_110.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,307.675,12014,دب,1542,310.223,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_140.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,320.819,10558,نجم,2664,324.489,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_350.png,2,trial_lists/trial_list_2
GJ3dp,.الرجاء تسمية هذه الصورة,333.554,9031,مربع,1579,336.141,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,square.png,2,trial_lists/trial_list_2
