subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
GsJPR,.الرجاء تسمية هذه الصورة,36.053,17139,مرنجم,7439,44.52,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_240.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,53.673,9123,فستان,6965,61.65,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_90.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,77.445,15765,مثلت متساوي الساقين,1210,79.667,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,95.166,15476,شكل عشوائي,1977,98.157,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_120.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,103.073,4890,مربع,1595,105.686,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,square.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,116.024,10313,بلونجم,981,118.021,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_330.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,130.478,12433,شكل سداسي,1754,133.246,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_180.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,142.8,9526,نجم البحر,960,144.775,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_60.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,171.018,26218,سداسي عشوائي,1423,173.456,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_150.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,178.173,4692,مرنجم,1026,180.215,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_270.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,198.33,18092,مربع خماسي,1157,200.5,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_210.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,205.252,4730,نجمه,1297,207.566,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_360.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,214.161,6575,إكس,1689,216.867,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_30.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,231.687,14797,ذئب مهجن,2586,235.289,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,dog.png,3,trial_lists/trial_list_3
GsJPR,.الرجاء تسمية هذه الصورة,243.745,8431,كوب نجم,893,245.659,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_300.png,3,trial_lists/trial_list_3
