subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
GuK03,.الرجاء تسمية هذه الصورة,97.387,55849,قبعه,33833,132.234,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_300.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,271.79,139536,طاوله,1787,274.582,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_180.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,288.614,14008,مثلث,2378,291.997,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,350.519,58500,ملابس,5877,357.402,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_90.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,402.426,45000,نجمه,1606,405.038,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_30.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,529.185,124123,اسهم,2835,533.025,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_60.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,548.17,15123,فازه,1345,550.521,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_150.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,567.222,16678,كلب,2087,570.314,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,607.693,37357,ستار,1637,610.336,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_270.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,618.491,8132,مربع,2095,621.591,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,636.02,14405,بيت,1373,638.398,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_210.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,647.428,9009,نجمه,1978,650.417,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_360.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,688.724,38286,سهم,1321,691.05,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_240.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,719.95,28876,شبح,1627,722.583,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_120.png,3,trial_lists/trial_list_3
GuK03,.الرجاء تسمية هذه الصورة,751.199,28593,اسهم,1839,754.043,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_330.png,3,trial_lists/trial_list_3
