subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
HzGoB,.الرجاء تسمية هذه الصورة,40.069,10450,نجمه,10144,51.245,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_10.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,58.645,7345,مربع,8285,67.956,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,86.276,18276,ارنب,35922,123.224,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_100.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,130.142,6881,نحمه,5623,136.789,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_340.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,151.582,14758,خماسي,2644,155.25,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_220.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,180.73,25439,فراشه,1481,183.231,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_70.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,198.38,15081,ذئب,3351,202.757,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,219.495,16692,لا ادري,1781,222.304,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_190.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,261,38655,تساعي,1466,263.49,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_280.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,274.474,10947,مثلث,1263,276.769,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,triangle.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,285.412,8610,رأس ارنب,3544,289.98,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_130.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,304.312,14278,نجمه رباعيه,3132,308.469,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_40.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,388.62,80115,لا أدري,2046,391.696,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_160.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,407.537,15802,نجمه و مربع,2092,410.647,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_250.png,1,trial_lists/trial_list_1
HzGoB,.الرجاء تسمية هذه الصورة,445.036,34350,نجمه,8887,454.953,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_310.png,1,trial_lists/trial_list_1
