subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
IM25F,.الرجاء تسمية هذه الصورة,38.584,4762,مثلث,11548,51.138,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,90.871,39728,نجمةة,2704,94.582,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_270.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,115.727,21141,بريق,2937,119.668,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_300.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,126.095,6423,لطخه,2183,129.296,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_60.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,142.015,12716,فخاره,2170,145.197,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_180.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,150.503,5302,مربع,2282,153.791,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,158.839,5041,بلوزة,3614,163.469,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_150.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,177.399,13927,كت,1690,180.105,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_120.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,185.671,5563,بريق,3498,190.173,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_360.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,263.983,73805,نجمة,2686,267.684,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_240.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,274.567,6879,بلوزة كت,4846,280.417,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_90.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,293.279,12857,لطخة,2550,296.838,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_30.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,302.087,5245,سكين,2126,305.22,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_330.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,313.207,7983,سداسي,3693,317.908,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_210.png,3,trial_lists/trial_list_3
IM25F,.الرجاء تسمية هذه الصورة,323.886,5975,ذئبط,5173,330.072,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,dog.png,3,trial_lists/trial_list_3
