subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
IbXHW,.الرجاء تسمية هذه الصورة,20.838,8235,مثلث,9316,31.171,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,43.64,12441,Slime,8751,53.399,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_60.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,61.507,8080,درع,3965,66.479,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_120.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,71.849,5342,نجمة,2475,75.332,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_240.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,88.695,13335,Trophy,3261,92.963,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_270.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,97.415,4424,?,1573,99.995,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_300.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,108.365,8341,Top,1788,111.161,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_180.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,117.154,5965,Star,1584,119.745,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_330.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,126.198,6425,Blade,1931,129.136,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_360.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,134.753,5590,..,2408,138.169,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_150.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,146.763,8567,ذئب,3539,151.309,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,dog.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,162.535,11198,Blade,1818,165.359,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_30.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,177.652,12266,Tank top,5814,184.473,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_90.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,192.527,8026,برواز,6897,200.43,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,square.png,3,trial_lists/trial_list_3
IbXHW,.الرجاء تسمية هذه الصورة,206.969,6511,درع,1971,209.948,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_210.png,3,trial_lists/trial_list_3
