subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
Ieq3r,.الرجاء تسمية هذه الصورة,47.125,6800,مثلث,3363,51.512,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,56.663,5076,نجمه,4624,62.311,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_360.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,87.523,25165,شكل تشاعي,7695,96.235,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_240.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,110.81,14521,شكل تساعي,1302,113.131,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_330.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,120.483,7286,نجمه,2929,124.435,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_30.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,129.762,5278,مربع,3521,134.3,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,157.179,22826,شكل عشاري,1660,159.854,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_300.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,177.847,17934,شكل,1630,180.493,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_150.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,203.646,23094,قدر,2988,207.645,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_210.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,250.252,42548,شكل تساعي,1800,253.07,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_270.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,275.523,22399,شكل ذا تموج,1489,278.029,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_60.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,308.472,30389,شكل غير ثابت,1641,311.13,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_180.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,348.702,37524,يشبه الستره,1387,351.107,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_90.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,360.98,9811,كلب,1388,363.387,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,dog.png,3,trial_lists/trial_list_3
Ieq3r,.الرجاء تسمية هذه الصورة,375.281,11837,.,1456,377.753,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_120.png,3,trial_lists/trial_list_3
