subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
J2dL6,.الرجاء تسمية هذه الصورة,41.523,28316,شعار,24599,67.13,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_330.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,77.648,10494,مثلث,2952,81.605,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,triangle.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1450.683,1369056,حجر,4379,1456.073,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_210.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1469.771,13666,بقعة,4080,1474.856,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_60.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1500.87,25991,شكل عشوائي,1698,1503.573,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_90.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1513.372,9774,نجم البحر,3144,1517.521,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_360.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1535.921,18377,كلب,3751,1540.677,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,dog.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1554.537,13837,مزهريه,4981,1560.523,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_120.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1569.526,8980,شكل هندسي,2634,1573.165,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_240.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1587.35,14163,درع,5764,1594.12,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_180.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1627.381,23490,لا يوجد صورة,1545,1629.932,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_270.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1600.417,6274,مربع,2446,1603.868,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,square.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1643.354,13400,لعبه هوائية,2529,1646.888,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_30.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1666.736,19825,شعار,4472,1672.213,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_300.png,3,trial_lists/trial_list_3
J2dL6,.الرجاء تسمية هذه الصورة,1698.326,26091,مشد للجسم,4915,1704.246,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_150.png,3,trial_lists/trial_list_3
