subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
JMLo8,.الرجاء تسمية هذه الصورة,115.821,78741,شكل معوج,10902,127.733,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_180.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,149.609,21858,شبه نجمة أو نص نجمة,1886,152.503,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_300.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,160.07,7555,مربع,2449,163.527,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,square.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,175.105,11564,شكل خماسي,12057,188.168,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_210.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,204.105,15924,جزء نجمة,2733,207.846,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_330.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,242.648,34788,اكس,2103,245.757,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_360.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,283.358,37588,شكل منحني,2276,286.642,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_150.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,310.97,24315,كلب  أو ذئب,1368,313.349,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,dog.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,319.532,6150,اكس,3684,324.221,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_30.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,357.057,32823,شكل منحني,1235,359.298,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_120.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,367.126,7810,اكس,1316,369.449,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_60.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,397.409,27948,شكل مكون من ٩ أضلاع,3764,402.179,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_240.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,406.471,4279,مثلث,877,408.356,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,triangle.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,420.91,12538,شبه نجمة,1557,423.478,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_270.png,3,trial_lists/trial_list_3
JMLo8,.الرجاء تسمية هذه الصورة,445.49,21976,Vest قميص,4989,451.486,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_90.png,3,trial_lists/trial_list_3
