subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
K08Hm,.الرجاء تسمية هذه الصورة,47.875,23256,قبعة طاهي,3308,52.219,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_270.png,3,trial_lists/trial_list_3
K08Hm,.الرجاء تسمية هذه الصورة,65.288,13037,ارنب/موظ,2313,68.645,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_90.png,3,trial_lists/trial_list_3
K08Hm,.الرجاء تسمية هذه الصورة,76.486,7799,تاج,7061,84.586,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_240.png,3,trial_lists/trial_list_3
K08Hm,.الرجاء تسمية هذه الصورة,101.057,16442,سيف,824,102.915,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_330.png,3,trial_lists/trial_list_3
K08Hm,.الرجاء تسمية هذه الصورة,164.114,61167,بركة ماء,3692,168.848,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_60.png,3,trial_lists/trial_list_3
K08Hm,.الرجاء تسمية هذه الصورة,184.207,15316,نجمة,3760,188.999,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_30.png,3,trial_lists/trial_list_3
K08Hm,.الرجاء تسمية هذه الصورة,213.863,24831,لباس اطفال,2521,217.41,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_120.png,3,trial_lists/trial_list_3
K08Hm,.الرجاء تسمية هذه الصورة,285.522,68078,درع,1428,287.984,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_210.png,3,trial_lists/trial_list_3
K08Hm,.الرجاء تسمية هذه الصورة,518.328,230310,مربع,6137,525.495,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,3,trial_lists/trial_list_3
K08Hm,.الرجاء تسمية هذه الصورة,532.223,6691,اخ,11047,544.3,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,3,trial_lists/trial_list_3
