subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
K3xFm,.الرجاء تسمية هذه الصورة,41.153,19506,ذئب,10758,52.928,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,dog.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,66.504,13563,جرة,7557,75.066,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_140.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,93.411,18310,سباعي,5605,100.022,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_230.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,112.408,12348,شبه نجمة,4506,117.922,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_260.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,128.571,10608,شبه جرة,2889,132.468,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_170.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,138.476,5963,مثلث,1730,141.213,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,triangle.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,148.416,7156,معين,2174,151.597,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_320.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,160.387,8746,شبه نجمة,4576,165.969,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_290.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,172.546,6563,نجمة,1514,175.067,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_350.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,179.946,4834,مربع,1713,182.665,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,square.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,190.367,7659,شكل,1474,192.848,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_200.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,201.275,8396,قنديل,7127,209.413,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_110.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,215.745,6292,اكس,2580,219.329,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_50.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,228.917,9570,معين,4148,234.072,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_20.png,2,trial_lists/trial_list_2
K3xFm,.الرجاء تسمية هذه الصورة,245.872,11758,شكل غير معروف,2291,249.168,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_80.png,2,trial_lists/trial_list_2
