subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
KPDoR,.الرجاء تسمية هذه الصورة,39.129,18534,بسيط,31665,71.858,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_290.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,81.837,9879,بلوزة,7232,90.095,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_140.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,99.398,9252,حجر,1316,101.739,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_200.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,119.642,17851,Warewolf,3569,124.232,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,143.319,19046,نجمة بتستعبط,1285,145.626,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_50.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,153.453,7782,نجمة حقيقة بقا,1563,156.04,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_350.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,166.274,10181,منيكان,2122,169.414,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_170.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,174.36,4905,مثلث,1221,176.607,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,triangle.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,192.665,16017,نجمة بتستعبط ٢,1310,195.006,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_320.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,203.062,7999,منيكان قلنا الله,1798,205.878,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_110.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,213.555,7642,بسكوت,1488,216.068,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_80.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,225.846,9729,مربع,2097,228.965,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,square.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,235.194,6182,نجمة البحر,889,237.103,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_20.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,243.873,6745,Hexagon,986,245.882,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_230.png,2,trial_lists/trial_list_2
KPDoR,.الرجاء تسمية هذه الصورة,259.724,13800,نجماتجون,878,261.627,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_260.png,2,trial_lists/trial_list_2
