subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
KnuBv,.الرجاء تسمية هذه الصورة,1947.834,1843863,أحد إشارات المرور,12222,1961.285,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_190.png,1,trial_lists/trial_list_1
KnuBv,.الرجاء تسمية هذه الصورة,1972.341,10918,تاج,6511,1979.892,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_220.png,1,trial_lists/trial_list_1
KnuBv,.الرجاء تسمية هذه الصورة,2111.168,131205,تاج ملك,1928,2114.156,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_250.png,1,trial_lists/trial_list_1
KnuBv,.الرجاء تسمية هذه الصورة,2192.822,78585,نصف نجمة و نصف مربع,1456,2195.31,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_280.png,1,trial_lists/trial_list_1
KnuBv,.الرجاء تسمية هذه الصورة,2212.021,16653,فيروس,1563,2214.612,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_40.png,1,trial_lists/trial_list_1
KnuBv,.الرجاء تسمية هذه الصورة,2223.023,8351,صاروخ,1292,2225.345,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_310.png,1,trial_lists/trial_list_1
KnuBv,.الرجاء تسمية هذه الصورة,2232.442,7022,مربع,1448,2234.918,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,square.png,1,trial_lists/trial_list_1
KnuBv,.الرجاء تسمية هذه الصورة,2255.88,20900,رمز ماركة سيارة,1355,2258.263,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_340.png,1,trial_lists/trial_list_1
KnuBv,.الرجاء تسمية هذه الصورة,2281.94,23631,طائر ورقي,1629,2284.6,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_10.png,1,trial_lists/trial_list_1
KnuBv,.الرجاء تسمية هذه الصورة,2290.928,6272,مثلث,1229,2293.186,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,triangle.png,1,trial_lists/trial_list_1
KnuBv,.الرجاء تسمية هذه الصورة,2308.674,15432,مزهرية,1699,2311.41,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_160.png,1,trial_lists/trial_list_1
KnuBv,.الرجاء تسمية هذه الصورة,2345.334,33869,كلب غير مكتمل الفرو,1424,2347.786,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,dog.png,1,trial_lists/trial_list_1
