subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
LBaos,.الرجاء تسمية هذه الصورة,39.867,12547,فخاره,19755,60.636,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_150.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,78.91,18243,شكل عشوائي,2584,82.5,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_60.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,98.185,15657,نجمة مربعيه,6011,105.203,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_240.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,111.176,5941,مربع,8170,120.352,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,square.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,134.403,14020,نجمة غير مكتملة,7794,143.211,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_270.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,149.636,6389,فستان,1414,152.056,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_120.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,182.693,30607,شكل معوج,7260,190.96,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_90.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,214.426,23441,نجم,3483,218.916,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_330.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,226.594,7649,مثلث,3267,230.869,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,256.718,25824,شكل عشوائي,7063,264.786,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_30.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,285.936,21117,فخار,2151,289.093,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_180.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,295.918,6795,نجمه,2318,299.241,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_360.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,310.055,10784,كلب,4917,315.976,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,dog.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,329.505,13497,خماسي,3916,334.427,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_210.png,3,trial_lists/trial_list_3
LBaos,.الرجاء تسمية هذه الصورة,344.909,10454,عشاري,4802,350.725,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_300.png,3,trial_lists/trial_list_3
