subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
LXS54,.الرجاء تسمية هذه الصورة,88.293,31570,مزهريه,4136,93.453,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_130.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,103.437,9963,مربع,1669,106.14,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,113.735,7556,تاج,3434,118.19,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_280.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,122.266,4024,مثلث,2427,125.731,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,triangle.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,135.563,9791,نجم البحر,2363,138.952,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_310.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,162.968,23970,ورقه,1424,165.415,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_190.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,187.016,21556,فراشه,1122,189.158,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_340.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,195.084,5888,سبنر,1330,197.441,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_10.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,205.118,7632,بيت,1035,207.177,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_220.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,216.398,9168,ذئب,1210,218.623,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,dog.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,242.003,23341,شكل عشوائي,930,243.954,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_250.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,254.935,10942,سلايم,1216,257.174,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_70.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,269.67,12456,وجه كرتوني,1847,272.539,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_160.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,279.345,6767,فستان,979,281.347,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_100.png,1,trial_lists/trial_list_1
LXS54,.الرجاء تسمية هذه الصورة,292.576,11184,سبنر,1210,294.81,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_40.png,1,trial_lists/trial_list_1
